geoid,landkreis,stadtkreis
10801001,"Flensburg, Stadt",TRUE
10801002,"Kiel, Stadt",TRUE
10801003,"Lübeck, Hansestadt",TRUE
10801004,"Neumünster, Stadt",TRUE
10801051,Dithmarschen,FALSE
10801053,Herzogtum Lauenburg,FALSE
10801054,Nordfriesland,FALSE
10801055,Ostholstein,FALSE
10801056,Pinneberg,FALSE
10801057,Plön,FALSE
10801058,Rendsburg-Eckernförde,FALSE
10801059,Schleswig-Flensburg,FALSE
10801060,Segeberg,FALSE
10801061,Steinburg,FALSE
10801062,Stormarn,FALSE
108020,"Hamburg, Stadt",FALSE
10802001,Hamburg Altona,FALSE
10802002,Hamburg Bergedorf,FALSE
10802003,Hamburg Eimsbüttel,FALSE
10802004,Hamburg Hamburg-Mitte,FALSE
10802005,Hamburg Hamburg-Nord,FALSE
10802006,Hamburg Harburg,FALSE
10802007,Hamburg Wandsbek,FALSE
10803101,"Braunschweig, Stadt",TRUE
10803102,"Salzgitter, Stadt",TRUE
10803103,"Wolfsburg, Stadt",TRUE
10803151,Gifhorn,FALSE
10803152,Göttingen,FALSE
10803153,Goslar,FALSE
10803154,Helmstedt,FALSE
10803155,Northeim,FALSE
10803156,Osterode am Harz,FALSE
10803157,Peine,FALSE
10803158,Wolfenbüttel,FALSE
10803241,Region Hannover,FALSE
10803251,Diepholz,FALSE
10803252,Hameln-Pyrmont,FALSE
10803254,Hildesheim,FALSE
10803255,Holzminden,FALSE
10803256,Nienburg (Weser),FALSE
10803257,Schaumburg,FALSE
10803351,Celle,FALSE
10803352,Cuxhaven,FALSE
10803353,Harburg,FALSE
10803354,Lüchow-Dannenberg,FALSE
10803355,Lüneburg,FALSE
10803356,Osterholz,FALSE
10803357,Rotenburg (Wümme),FALSE
10803358,Heidekreis,FALSE
10803359,Stade,FALSE
10803360,Uelzen,FALSE
10803361,Verden,FALSE
10803401,"Delmenhorst, Stadt",TRUE
10803402,"Emden, Stadt",TRUE
